input,output,instruction
"Artificial Surface 95.49
",some buildings around some kinds of sports fields are near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.44
Building 15.29
Artificial Surface front left Building
",this rectangular area close the road is a playground consisting of three basketball courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.30
",a playground between two rows of green plants is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.06
",a playground with basketball field in it is surrounded by green plants and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.47
",several buildings and green trees are around a basketball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.28
",the playground is sited near a large open sapce .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",the light green square area includes three basketball courts while there are some orderless houses aside .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 71.35
Vegetation 23.16
Artificial Surface behind Vegetation
",a playground is semisurrounded by several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.51
Water 11.41
Artificial Surface front left Water
",some buildings and many green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.00
Vegetation 5.59
Artificial Surface to the right of Vegetation
",a playground is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.85
",a playground with two basketball fields in it is surrounded by many buildings and some trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.64
Vegetation 5.49
Artificial Surface to the left of Vegetation
",two playgrounds are next to many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.47
",a playground is semisurrounded by some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.79
Water 13.00
Vegetation 19.84
Artificial Surface behind right Vegetation
Water behind left Artificial Surface
",several buildings are near a row of basketball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",a playground is semisurrounded by several buildings and many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.32
",the large oval course includes several small courts and it is surrounded by lush trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.09
Building 26.95
Artificial Surface behind right Building
",a playground with two basketball fields in it is surrounded by some green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",several buildings and some green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.04
",many buildings and some green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.66
",this irregular area contains several basketball courts and differents kinds of buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",what surround this dark green exercise park is numerous small houses .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.94
",a playground with basketball fields in it is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.85
",several buildings and some green trees are around a playground with three basketball fields in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.70
Vegetation 15.33
Artificial Surface to the right of Vegetation
",dosens of cars are parked near this standard football field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.73
",a playground with two basketball fields in it is surrounded by some trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.47
Vegetation 22.82
Artificial Surface to the right of Vegetation
",a playground with three basketball fields and two badminton courts in it is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.39
",a playground is surrounded by some green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.34
",a playground with many kinds of sports fields next to it is surrounded by many buildings and some trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.16
",several buildings and trees are near a playground with a basketball field and two badminton courts in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.80
",what surround this playground with a peculiar buildings are rows of edifices .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.12
",a playground is semisurrounded by several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.69
",the football field has two small triangular turf while the tennis courts nearby are located side by side .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.05
",a playground is surrounded by many buildings and several trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",each rectangle has a total of ten courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.34
",many orderly buildings and green trees are around three playgrounds separately .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.09
Vegetation 10.37
Artificial Surface on Vegetation
",a playground with two basketball fields next to it is surrounded by some green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.00
Vegetation 8.50
Artificial Surface behind left Vegetation
",a bridge is on a river with green meadows and many buildings on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.16
Vegetation 8.91
Artificial Surface behind Vegetation
",many cars are on the two crossroads on the two ends of a bridge on a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.81
",a playground next to a road is semisurrounded by buildings and trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.44
Vegetation 5.96
Artificial Surface front right Vegetation
",many buildings around a playground are next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.21
",a long playground is surrounded by some trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.57
",a playground is next to two squares of green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.61
",a playground with a basketball field next to it is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.11
",the football field lies against dense woods while both sides of it are neat and orderly buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.09
",a playground with a basketball field next to it is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.38
",some buildings and green trees are around a playground with football field in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.46
","one side of the football field is a white podium, the other side is a few basketball courts .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.58
Vegetation 22.90
Artificial Surface behind Vegetation
",a line of lush trees seperate the football field and dark blue basketball courts from each other .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.13
Vegetation 8.02
Artificial Surface to the right of Vegetation
",the rectanglar area contains several basketball and tennis courts and a white building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.64
",a playground is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.02
",some buildings and green trees are around a playground with three basketball fields in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.93
",some buildings and plants are around a playground and four basketball fields and many badminton courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.02
Vegetation 6.28
Artificial Surface behind right Vegetation
",a playground is surrounded by many large buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.44
Vegetation 11.55
Artificial Surface behind left Vegetation
",a playground is semisurrounded by many large buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.72
Vegetation 7.69
Artificial Surface to the left of Vegetation
",a playground with many kinds of sports fields is surrounded by many green plants and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.22
",a playground is surrounded by some green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.93
Building 5.98
Artificial Surface behind right Building
",a playground is surrounded by many buildings and a road with trees in two sides .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.76
",many green trees and several buildings are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.25
Water 7.18
Vegetation 21.77
Artificial Surface behind Vegetation
Water front right Vegetation
",a playground with football field in it is semisurrounded by many green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.81
Vegetation 10.09
Artificial Surface front left Vegetation
",some buildings and green trees are around a playground and three basketball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.05
Vegetation 6.15
Artificial Surface on Vegetation
",a playground with a football field in it is surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.19
",a playground next to a road is semisurrounded by green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.19
Vegetation 22.90
Artificial Surface to the right of Vegetation
",a playground with three basketball fields and a tennis court in it is surrounded by many green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.06
Vegetation 17.60
Artificial Surface behind right Vegetation
",a playground is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.30
",two basketball fields are semisurrounded by some green plants and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.87
",a large playground is next to a piece of buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.68
",a large playground is next to many green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.16
Vegetation 10.07
Artificial Surface to the right of Vegetation
",two playgrounds are surrounded by some green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.20
Water 9.54
Vegetation 22.13
Artificial Surface behind right Vegetation
Water front right Vegetation
",some buildings and green trees are around a playground with a football field in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.18
",several large buildings and some green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.40
Markers & Obstacles 6.80
Artificial Surface front left Markers & Obstacles
",many green plants are around a playground and a square bare ground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.06
Vegetation 8.29
Artificial Surface to the right of Vegetation
",a playground is near several rectangular buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.04
",a basketball field and a tennis court are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 53.78
Vegetation 36.92
Artificial Surface to the left of Vegetation
",a basketball field is near a building and several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.75
Vegetation 5.98
Artificial Surface to the right of Vegetation
",a playground with two basketball fields next to it is semi-surrounded by yellow bare land .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.23
",a playground is next to a large piece of plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.38
Vegetation 20.67
Artificial Surface behind left Vegetation
",a playground is surrounded by several green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.09
",a playground is surrounded by many buildings and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.27
Water 11.19
Artificial Surface front left Water
",two playgrounds are semisurrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.86
Markers & Obstacles 13.02
Artificial Surface behind right Markers & Obstacles
",a row of basketball fields and three tennis courts are semisurrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.36
Markers & Obstacles 7.29
Artificial Surface behind left Markers & Obstacles
",two large playground are next to many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.82
",a playground is surrounded by several buildings and many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.67
",several tennis courts are surrounded by green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.68
Markers & Obstacles 5.07
Artificial Surface front left Markers & Obstacles
",a playground with three basketball fields in it is surrounded by buildings and road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.33
",a playground with three basketball fields next to it is surrounded by many green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.59
Vegetation 9.77
Artificial Surface behind right Vegetation
",many buildings and green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.53
Vegetation 6.00
Artificial Surface front right Vegetation
",a playground is surrounded by green plants and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.30
Vehicles 8.90
Artificial Surface behind right Vehicles
",a playground is surrounded by many buildings and some plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.07
",a tennis court is surrounded by some green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.68
",a playground is surrounded by some green trees and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
",the playground consisting of two basketball courts is located at the street corner .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.58
",some buildings and green trees are around a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.09
Vegetation 9.78
Artificial Surface behind left Vegetation
",a playground is next to a row of green plants and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.51
",some buildings and green trees are around a playground and two basketball fields and four badminton courts and a tennis court .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.31
",some buildings and many green trees are around a playground and two rows of basketball fields separately .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.83
",the playground is located in a small open space between several tall edifices and a few rows of residential buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.32
Vegetation 8.93
Artificial Surface behind Vegetation
","a few blue, small buildings scatter around the playground .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.49
Building 21.36
Artificial Surface behind left Building
",a bridge is on a river with many buildings on one side of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.65
",a bridge is on a river with some buildings on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.42
",a bridge is on a river with many green plants on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.34
",a playground is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.60
",a playground is surrounded by some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.37
Water 7.25
Artificial Surface front right Water
",several edifices stand beiside the football field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.14
Vegetation 20.60
Artificial Surface to the right of Vegetation
",a long bridge is on the intersection of two rivers .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.62
",a playground with several basketball fields next to it is surrounded by many buildings and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.66
",a playground is next to several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.42
",the playground with yellowish turf is located beside the river and there is a treelined path .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.66
Vegetation 13.05
Artificial Surface behind left Vegetation
",a playground is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.06
",a playground and some basketball fields are near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.15
",a playground with three basketball fields next to it is surrounded by green plants and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.02
Markers & Obstacles 13.85
Artificial Surface front right Markers & Obstacles
",many buildings around a basketball field is next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.72
Water 6.33
Vegetation 16.19
Markers & Obstacles 10.28
Artificial Surface on Vegetation
Water front left Artificial Surface
Markers & Obstacles front right Artificial Surface
","the playground is located near the intersection of two roads, and we can clearly see the bright blue swimming pool on the roof of the nearby building .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.05
Building 5.95
Artificial Surface behind left Building
",two tennis courts are near a crossroads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.99
Markers & Obstacles 6.21
Artificial Surface front right Markers & Obstacles
",several buildings and green trees are between a parking lot and a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.11
Vegetation 7.06
Artificial Surface front left Vegetation
",a piece of meadows is between a small playground and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.89
Building 13.53
Artificial Surface to the right of Building
",the grass with a small baseball field is surrounded by some villas and a v-shaped building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.02
",two baseball fields and several buildings are next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.29
",a playground and a baseball field are surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.85
",a playground next to a road is semisurrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.00
Building 6.02
Artificial Surface front right Building
",a baseball field next to a crossroads is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.90
",a parking lot and a basketball field are near two roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.50
",the fan-shaped grassland is located near the road and some gray buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.01
Vegetation 18.22
Artificial Surface behind left Vegetation
",a basketball field is near several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.35
",a baseball field is surrounded by many buildings and two roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.13
Vegetation 6.60
Artificial Surface behind right Vegetation
",a baseball field is semi-surrounded by many buildings and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.11
Vegetation 15.18
Artificial Surface behind Vegetation
",a basketball field is semi-surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.24
Vegetation 5.22
Artificial Surface behind Vegetation
",a playground with six tennis courts next to it is surrounded by some buildings and two roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.89
",a baseball field is next to a crossroads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.31
Building 8.26
Artificial Surface to the left of Building
",a baseball field with several tennis courts beside it is next to the intersection of two roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.58
",a playground is semisurrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.65
Vegetation 5.78
Building 5.21
Artificial Surface behind Vegetation
Building behind right Artificial Surface
",buildings and a playground with two basketball fields in it are in two sides of a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.69
Vegetation 6.59
Artificial Surface on Vegetation
",a plane is stopped on the runway with some containers nearby .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.19
Vegetation 5.91
Artificial Surface behind Vegetation
",three planes are parked next to a road on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.36
",two planes are parked on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.44
Water 18.53
Vegetation 11.40
Artificial Surface on Vegetation
Water front right Artificial Surface
",three planes are parked on an airport next to a large parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",three planes are parked on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.69
Vegetation 7.08
Artificial Surface behind Vegetation
",a plane is running on an airport runway .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.58
Vegetation 7.89
Artificial Surface behind right Vegetation
",many white tanks are around by many things .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",three planes are near a building on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.71
Water 18.88
Markers & Obstacles 9.46
Artificial Surface behind left Markers & Obstacles
Water to the left of Artificial Surface
",most of planes are docked at the gates while only one plane is on the runway and ready to take off .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.65
Markers & Obstacles 11.01
Artificial Surface behind right Markers & Obstacles
",many planes are parked next to two long buildings on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.65
Water 5.78
Artificial Surface behind left Water
",many planes are around two long buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 49.80
Water 39.80
Artificial Surface front left Water
",two planes are parked on an airport runway .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.06
Vegetation 5.51
Artificial Surface front left Vegetation
",three planes are parked on an airport next to a road with many cars running .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",many planes are parked next to a building on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.44
",three planes are parked on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.11
Water 9.80
Vegetation 6.96
Artificial Surface behind Vegetation
Water front right Vegetation
",four planes are parked next to several buildings on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.59
Building 10.50
Artificial Surface behind right Building
",many planes are around a building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.77
Building 15.70
Artificial Surface behind right Building
",many planes are parked around a building on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.35
","the airplanes around the terminal building have beautiful, purple bodies .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.28
Vegetation 11.24
Building 10.63
Artificial Surface behind right Building
Vegetation front left Building
",three planes are parked on an airport runway .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 67.76
Water 17.79
Vegetation 12.93
Artificial Surface on Vegetation
Water behind right Artificial Surface
",two tennis courts are surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.67
Vegetation 19.58
Artificial Surface behind right Vegetation
","a short, slender bridge connects two banks of the river .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.38
Building 9.56
Artificial Surface behind left Building
",there are two tennis courts on each side of the building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.26
",a basketball field is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.84
",a tennis court is between two long white buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 65.65
Water 5.36
Vegetation 24.36
Artificial Surface behind Vegetation
Water front left Vegetation
",four tennis courts surrounded by some green trees are next to three long buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.92
Water 18.07
Vehicles 8.52
Markers & Obstacles 6.20
Artificial Surface behind right Markers & Obstacles
Water front left Vehicles
",two tennis courts surrounded by green trees are near a crossroads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.95
",these three tennis courts are coloured with green .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.73
Vegetation 8.86
Artificial Surface on Vegetation
",two tennis courts and a tennis court are in two sides of a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.07
Vegetation 19.81
Artificial Surface behind right Vegetation
",two tennis courts are next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.51
Water 18.42
Vegetation 42.58
Artificial Surface to the right of Vegetation
Water behind right Artificial Surface
",a tennis court and several buildings are next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.82
Water 8.56
Vegetation 11.76
Artificial Surface behind Vegetation
Water behind left Artificial Surface
",this fan-shaped baseball field is close the residential area nearby .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.56
","a baseball field with high fense, two tennis courts and some small buildings make up this area .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.72
Vegetation 6.10
Artificial Surface in front Vegetation
",the tennis court is near the grassland and is under a huge building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
Vegetation 5.30
Artificial Surface behind right Vegetation
",three tennis courts are surrounded by several buildings and trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 73.75
Water 12.44
Vegetation 9.27
Artificial Surface to the right of Vegetation
Water behind left Vegetation
",a baseball field is next to a basketball field and two tennis courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 100.00
",a playground is next to a baseball field and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.88
",a playground and tennis courts are near railways .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.24
Water 7.46
Markers & Obstacles 6.22
Artificial Surface behind right Markers & Obstacles
Water front right Markers & Obstacles
",three tennis courts are next to a crossroads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.92
Vegetation 8.84
Markers & Obstacles 16.69
Artificial Surface behind right Vegetation
Markers & Obstacles behind left Vegetation
",three planes are parked on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.21
Vegetation 9.73
Markers & Obstacles 6.84
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",a big plane and another small plane are stopped near the runway .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.95
Vegetation 7.47
Markers & Obstacles 5.49
Artificial Surface behind right Vegetation
Markers & Obstacles behind right Vegetation
",three planes and two planes are near two different buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.29
",a row of small planes and another two planes are parked on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.62
Markers & Obstacles 5.53
Artificial Surface front left Markers & Obstacles
",many planes in different lines are near a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.39
Vegetation 11.88
Artificial Surface behind Vegetation
",four planes are stopped on the open space between the parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 54.07
Water 17.83
Vegetation 25.12
Artificial Surface behind Vegetation
Water front right Vegetation
",three planes are parked next to a building on an airport .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.54
Vegetation 13.06
Artificial Surface behind left Vegetation
",two bridges are on a river with some buildings and green plants on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.59
",three bridges connected two city subdivisions .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.36
",a bridge is on a river with bare ground and some green plants on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.53
",a baseball field next to a crossroads is next to many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.65
Vegetation 19.40
Artificial Surface behind Vegetation
",a baseball field is surrounded by many green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.19
Markers & Obstacles 5.73
Artificial Surface behind right Markers & Obstacles
",this tranquil and beautiful place consists of a playground and a large area of grassland .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.14
Vegetation 18.53
Artificial Surface behind left Vegetation
","the square area includes several tennis courts, a baseball field and different kinds of buildings .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.13
Vegetation 26.15
Artificial Surface behind Vegetation
",a baseball field is semi-surrounded by several large buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.58
",the tennis courts surrounded by plants is next to the basketball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 79.96
Water 8.13
Vegetation 5.77
Artificial Surface behind Vegetation
Water behind right Artificial Surface
",several baseball fields and two basketball fields and two tennis courts are next to a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.87
Water 18.85
Vegetation 13.50
Markers & Obstacles 6.58
Artificial Surface to the right of Vegetation
Water behind left Vegetation
Markers & Obstacles front left Vegetation
",a baseball field is next to four tennis courts and a small parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 56.05
Vegetation 43.56
Artificial Surface to the right of Vegetation
",three baseball fields and two tennis courts are surrounded by some green planes .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.92
Vegetation 19.97
Artificial Surface behind Vegetation
",two baseball fields and four basketball fields are near several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.31
",two baseball fields and two basketball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.25
Vegetation 15.02
Artificial Surface behind right Vegetation
",three baseball fields are surrounded by many green plants and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.80
Vegetation 39.09
Artificial Surface behind left Vegetation
",a baseball field is surrounded by green meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.52
",a bridge is on a river with some green trees and buildings on two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.48
Vegetation 28.54
Markers & Obstacles 7.59
Artificial Surface behind left Vegetation
Markers & Obstacles front right Vegetation
","the buildings on both sides of the river are scattered, and the traffic on the bridge is busy .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.79
",the bridge across the river connects the huge factory with the parking lot closely .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.29
Vegetation 25.90
Artificial Surface to the left of Vegetation
",a bridge is on a river with some green trees and parking lots on two sides of the river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.78
Vegetation 5.14
Artificial Surface behind Vegetation
",two vertical bridges are on the bend of a river with some green trees and several buildings next to it .,Write a short description of a remote sensing image with the following information.
